review_id,symbol,timeframe,exchange,fib_source,fib_id,fib_level,fib_price,fib_levels,event_bar,event_time,relation,auto_candidate,touch_type,approach_side,note,evidence_forward_bars,evidence_closes_beyond,evidence_closes_back,evidence_max_penetration_atr,swing_start_time,swing_end_time,swing_direction,swing_start_bar,swing_end_bar,anchor_a_time,anchor_a_price,anchor_a_bar,anchor_b_time,anchor_b_price,anchor_b_bar,chart_path,human_label,human_confidence,human_note
ETH-USD_1d_L0p236_s0_e0_b523_react,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.236,346.4645,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",523,2017-08-21T00:00:00+00:00,above,reaction_candidate,close_below,below,Reacted at level without a clear breakout or rejection,5,0,6,0.0,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p236_s0_e0_b523_react.png,,,
ETH-USD_1d_L0p236_s0_e0_b535_cont,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.236,346.4645,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",535,2017-09-02T00:00:00+00:00,above,continuation_candidate,wick_above,above,Broke through level and continued,5,4,1,2.0773,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p236_s0_e0_b535_cont.png,,,
ETH-USD_1d_L0p236_s0_e0_b576_rej,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.236,346.4645,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",576,2017-10-13T00:00:00+00:00,above,rejection_candidate,wick_above,below,Touched level and rejected back to the approach side,5,0,6,0.0,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p236_s0_e0_b576_rej.png,,,
ETH-USD_1d_L0p382_s0_e0_b530_fail,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.382,352.3877,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",530,2017-08-28T00:00:00+00:00,above,failure_candidate,close_below,below,Accepted beyond level then reversed back across it,5,4,2,1.7099,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p382_s0_e0_b530_fail.png,,,
ETH-USD_1d_L0p382_s0_e0_b535_cont,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.382,352.3877,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",535,2017-09-02T00:00:00+00:00,above,continuation_candidate,wick_above,above,Broke through level and continued,5,5,0,2.3202,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p382_s0_e0_b535_cont.png,,,
ETH-USD_1d_L0p382_s0_e0_b579_rej,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.382,352.3877,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",579,2017-10-16T00:00:00+00:00,above,rejection_candidate,wick_above,below,Touched level and rejected back to the approach side,5,0,6,0.0,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p382_s0_e0_b579_rej.png,,,
ETH-USD_1d_L0p5_s0_e0_b460_rej,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.5,357.175,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",460,2017-06-19T00:00:00+00:00,above,rejection_candidate,wick_above,below,Touched level and rejected back to the approach side,5,0,5,0.0,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p5_s0_e0_b460_rej.png,,,
ETH-USD_1d_L0p5_s0_e0_b531_fail,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.5,357.175,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",531,2017-08-29T00:00:00+00:00,above,failure_candidate,wick_below,below,Accepted beyond level then reversed back across it,5,4,2,1.4597,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p5_s0_e0_b531_fail.png,,,
ETH-USD_1d_L0p5_s0_e0_b613_cont,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.5,357.175,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",613,2017-11-19T00:00:00+00:00,above,continuation_candidate,wick_above,below,Broke through level and continued,5,5,1,5.6606,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p5_s0_e0_b613_cont.png,,,
ETH-USD_1d_L0p5_s0_e0_b746_react,ETH/USD,1d,bitfinex,human_fib_events,fib_ETH-USD_1d_20170618T000000,0.5,357.175,"[{""price"":346.4645,""ratio"":""0.236""},{""price"":352.3877,""ratio"":""0.382""},{""price"":357.175,""ratio"":""0.5""},{""price"":361.9623,""ratio"":""0.618""},{""price"":368.778,""ratio"":""0.786""},{""price"":377.46,""ratio"":""1""}]",746,2018-04-01T00:00:00+00:00,above,reaction_candidate,close_above,above,Reacted at level without a clear breakout or rejection,5,0,6,0.0,2017-06-18T00:00:00+00:00,2017-06-18T00:00:00+00:00,down,0,0,2017-06-18T00:00:00+00:00,377.46,0,2017-06-18T00:00:00+00:00,336.89,0,charts/ETH-USD_1d_L0p5_s0_e0_b746_react.png,,,
